date,source,mean_sst,site
2000-10-01,METOFFICE,NA,OL
2000-10-02,ESACCI,22.6994670733221,OL
2000-10-02,METOFFICE,NA,OL
2000-10-03,ESACCI,22.6665723372153,OL
2000-10-03,METOFFICE,NA,OL
2000-10-04,ESACCI,22.6160460225552,OL
2000-10-04,METOFFICE,NA,OL
2000-10-05,ESACCI,22.5623618132288,OL
2000-10-05,METOFFICE,NA,OL
2000-10-06,ESACCI,22.3694670806982,OL
2000-10-06,METOFFICE,NA,OL
2000-10-07,ESACCI,22.2223618208284,OL
2000-10-07,METOFFICE,NA,OL
2000-10-08,ESACCI,22.1536776118373,OL
2000-10-08,METOFFICE,NA,OL
2000-10-09,ESACCI,22.0823618239576,OL
2000-10-09,METOFFICE,NA,OL
2000-10-10,ESACCI,22.0286776146312,OL
2000-10-10,METOFFICE,NA,OL
2000-10-11,ESACCI,21.9047302489806,OL
2000-10-11,METOFFICE,NA,OL
2000-10-12,ESACCI,21.829730250657,OL
2000-10-12,METOFFICE,NA,OL
2000-10-13,ESACCI,21.7589407785551,OL
2000-10-13,METOFFICE,NA,OL
2000-10-14,ESACCI,21.6726249910107,OL
2000-10-14,METOFFICE,NA,OL
2000-10-15,ESACCI,21.5344670993619,OL
2000-10-15,METOFFICE,NA,OL
2000-10-16,ESACCI,21.3355197353877,OL
2000-10-16,METOFFICE,NA,OL
2000-10-17,ESACCI,21.2368355270672,OL
2000-10-17,METOFFICE,NA,OL
2000-10-18,ESACCI,21.1868355281848,OL
2000-10-18,METOFFICE,NA,OL
2000-10-19,ESACCI,21.1352565819692,OL
2000-10-19,METOFFICE,NA,OL
2000-10-20,ESACCI,21.0681513203112,OL
2000-10-20,METOFFICE,NA,OL
2000-10-21,ESACCI,20.9768355328786,OL
2000-10-21,METOFFICE,NA,OL
2000-10-22,ESACCI,21.0823618463094,OL
2000-10-22,METOFFICE,NA,OL
2000-10-23,ESACCI,20.9128881658869,OL
2000-10-23,METOFFICE,NA,OL
2000-10-24,ESACCI,20.8252565888982,OL
2000-10-24,METOFFICE,NA,OL
2000-10-25,ESACCI,20.7652565902393,OL
2000-10-25,METOFFICE,NA,OL
2000-10-26,ESACCI,20.5797302785967,OL
2000-10-26,METOFFICE,NA,OL
2000-10-27,ESACCI,20.5615723842657,OL
2000-10-27,METOFFICE,NA,OL
2000-10-28,ESACCI,20.5949934361503,OL
2000-10-28,METOFFICE,NA,OL
2000-10-29,ESACCI,20.5805197522633,OL
2000-10-29,METOFFICE,NA,OL
2000-10-30,ESACCI,20.5713092261533,OL
2000-10-30,METOFFICE,NA,OL
2000-10-31,ESACCI,20.548414489823,OL
2000-10-31,METOFFICE,NA,OL
2000-11-01,ESACCI,20.4931513331634,OL
2000-11-01,METOFFICE,NA,OL
2000-11-02,ESACCI,20.4973618593851,OL
2000-11-02,METOFFICE,NA,OL
2000-11-03,ESACCI,20.486835543831,OL
2000-11-03,METOFFICE,NA,OL
